Floyd, Iowa,140549.0,2
Morris, New Jersey,566510.0,0
Henderson, Texas,290569.0,201
Huron, Michigan,155474.0,18
Oceana, Michigan,203543.0,28
Frio, Texas,126394.0,11
Merrick, Nebraska,192363.0,2
Broadwater, Montana,450462.0,22
Bingham, Idaho,370149.0,28
Bee, Texas,178392.0,42
Summit, Colorado,1039803.0,45
Hinsdale, Colorado,495967.0,1
Hunterdon, New Jersey,514984.0,0
El Dorado, California,677827.0,206
Cass, Minnesota,260661.0,44
Humphreys, Tennessee,204035.0,35
Polk, Oregon,474148.0,71
Barrow, Georgia,328743.0,238
Jackson, Kentucky,134368.0,5
San Augustine, Texas,180910.0,27
Ionia, Michigan,219713.0,77
Colbert, Alabama,160826.0,58
Cocke, Tennessee,168684.0,146
Mitchell, Georgia,120641.0,33
Cayuga, New York,181491.0,40
Fulton, Illinois,94011.0,12
Wayne, Georgia,180954.0,156
Fayette, Iowa,135921.0,11
Snohomish, Washington,742475.0,562
Williamson, Illinois,133696.0,8
Mercer, Ohio,235913.0,5
Teller, Colorado,509278.0,25
Parmer, Texas,149787.0,1
Carver, Minnesota,448595.0,34
Atascosa, Texas,257397.0,77
Warren, Missouri,295358.0,77
Lamoille, Vermont,401552.0,13
Audubon, Iowa,106859.0,3
Pierce, Georgia,201617.0,54
Grant, Kansas,141750.0,5
Grant, Indiana,115705.0,28
Chilton, Alabama,177365.0,168
Bailey, Texas,116866.0,2
Richland, Ohio,171889.0,57
Douglas, Nevada,693206.0,65
Marshall, Tennessee,275976.0,26
Kern, California,340479.0,2187
Geneva, Alabama,127138.0,58
Harrison, Mississippi,204886.0,41
Greene, Georgia,566805.0,10
Middlesex, Virginia,352498.0,14
Kings, California,339678.0,165
Madison, New York,202377.0,21
Coshocton, Ohio,162796.0,37
Sagadahoc, Maine,367254.0,5
Cooper, Missouri,190903.0,5
Washburn, Wisconsin,250496.0,40
Merrimack, New Hampshire,414993.0,1
Campbell, Kentucky,253140.0,0
Banks, Georgia,294995.0,43
San Mateo, California,1655304.0,311
Cobb, Georgia,421179.0,7
Lake, Michigan,135246.0,33
Boulder, Colorado,766848.0,94
Scioto, Ohio,117691.0,49
Warren, Pennsylvania,128266.0,0
Powell, Kentucky,117558.0,0
Nevada, California,652611.0,174
Walker, Georgia,208045.0,237
Butler, Kansas,225728.0,49
Union, Pennsylvania,256537.0,0
Carter, Kentucky,106294.0,7
Newton, Texas,135299.0,10
