table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Grady County, Oklahoma","54,795","54,805","55,508"
".Grant County, Oklahoma","4,169","4,168","4,131"
".Greer County, Oklahoma","5,491","5,488","5,487"
".Harmon County, Oklahoma","2,488","2,465","2,418"
".Harper County, Oklahoma","3,272","3,255","3,180"
".Haskell County, Oklahoma","11,561","11,549","11,602"
".Hughes County, Oklahoma","13,367","13,334","13,405"
".Jackson County, Oklahoma","24,785","24,731","24,777"
".Jefferson County, Oklahoma","5,337","5,326","5,438"
".Johnston County, Oklahoma","10,272","10,222","10,301"
".Kay County, Oklahoma","43,700","43,541","43,732"
".Kingfisher County, Oklahoma","15,184","15,151","15,204"
".Kiowa County, Oklahoma","8,509","8,487","8,410"
".Latimer County, Oklahoma","9,444","9,461","9,427"
".Le Flore County, Oklahoma","48,129","48,131","48,476"
".Lincoln County, Oklahoma","33,458","33,469","33,829"
".Logan County, Oklahoma","49,555","49,726","50,885"
".Love County, Oklahoma","10,146","10,143","10,216"
".McClain County, Oklahoma","41,662","41,887","43,516"
".McCurtain County, Oklahoma","30,814","30,786","30,884"
".McIntosh County, Oklahoma","18,941","18,946","19,245"
".Major County, Oklahoma","7,782","7,750","7,668"
".Marshall County, Oklahoma","15,312","15,342","15,594"
".Mayes County, Oklahoma","39,046","39,066","39,159"
".Murray County, Oklahoma","13,904","13,869","13,718"
".Muskogee County, Oklahoma","66,339","66,160","66,146"
".Noble County, Oklahoma","10,924","10,900","10,933"
".Nowata County, Oklahoma","9,320","9,296","9,303"
".Okfuskee County, Oklahoma","11,310","11,238","11,197"
".Oklahoma County, Oklahoma","796,292","797,296","798,575"
".Okmulgee County, Oklahoma","36,706","36,679","36,843"
".Osage County, Oklahoma","45,818","45,741","45,772"
".Ottawa County, Oklahoma","30,285","30,209","30,340"
".Pawnee County, Oklahoma","15,553","15,544","15,741"
".Payne County, Oklahoma","81,646","81,592","81,989"
".Pittsburg County, Oklahoma","43,773","43,727","43,633"
".Pontotoc County, Oklahoma","38,065","38,077","38,163"
".Pottawatomie County, Oklahoma","72,454","72,441","73,019"
".Pushmataha County, Oklahoma","10,812","10,797","10,815"
".Roger Mills County, Oklahoma","3,442","3,427","3,386"
".Rogers County, Oklahoma","95,240","95,315","96,695"
".Seminole County, Oklahoma","23,556","23,508","23,567"
".Sequoyah County, Oklahoma","39,281","39,255","39,508"
".Stephens County, Oklahoma","42,848","42,753","43,129"
".Texas County, Oklahoma","21,384","21,283","20,865"
".Tillman County, Oklahoma","6,968","6,956","7,076"
".Tulsa County, Oklahoma","669,279","670,157","672,858"
".Wagoner County, Oklahoma","80,981","81,377","84,050"
".Washington County, Oklahoma","52,455","52,593","52,772"
".Washita County, Oklahoma","10,924","10,903","10,915"
".Woods County, Oklahoma","8,624","8,587","8,583"
".Woodward County, Oklahoma","20,470","20,385","20,205"
".Baker County, Oregon","16,668","16,689","16,847"
".Benton County, Oregon","95,184","95,167","96,017"
".Clackamas County, Oregon","421,401","422,160","422,537"
".Clatsop County, Oregon","41,072","41,089","41,810"
".Columbia County, Oregon","52,589","52,631","53,074"
".Coos County, Oregon","64,929","64,887","64,999"
".Crook County, Oregon","24,738","24,923","25,739"
".Curry County, Oregon","23,446","23,503","23,683"
".Deschutes County, Oregon","198,253","199,355","204,801"
".Douglas County, Oregon","111,201","111,235","111,978"
".Gilliam County, Oregon","1,995","2,016","2,005"
".Grant County, Oregon","7,233","7,223","7,272"
".Harney County, Oregon","7,495","7,491","7,575"
".Hood River County, Oregon","23,977","23,943","24,057"
".Jackson County, Oregon","223,259","223,394","223,734"
".Jefferson County, Oregon","24,502","24,518","25,068"
".Josephine County, Oregon","88,090","88,105","88,346"
".Klamath County, Oregon","69,413","69,504","70,164"
".Lake County, Oregon","8,160","8,149","8,276"
".Lane County, Oregon","382,971","382,940","383,189"
".Lincoln County, Oregon","50,395","50,472","50,862"
".Linn County, Oregon","128,610","128,936","129,839"
".Malheur County, Oregon","31,571","31,608","31,693"
".Marion County, Oregon","345,920","346,202","347,119"
".Morrow County, Oregon","12,186","12,191","12,303"
".Multnomah County, Oregon","815,428","815,871","803,377"
".Polk County, Oregon","87,433","87,863","89,164"
".Sherman County, Oregon","1,870","1,872","1,907"
".Tillamook County, Oregon","27,390","27,471","27,748"
".Umatilla County, Oregon","80,075","80,011","79,988"
".Union County, Oregon","26,196","26,149","26,212"
".Wallowa County, Oregon","7,391","7,387","7,545"
".Wasco County, Oregon","26,670","26,611","26,726"
".Washington County, Oregon","600,372","600,689","600,811"
".Wheeler County, Oregon","1,451","1,457","1,451"
".Yamhill County, Oregon","107,722","107,832","108,239"
".Adams County, Pennsylvania","103,852","103,795","104,127"
".Allegheny County, Pennsylvania","1,250,578","1,248,717","1,238,090"
".Armstrong County, Pennsylvania","65,558","65,445","65,093"
".Beaver County, Pennsylvania","168,215","167,732","166,624"
".Bedford County, Pennsylvania","47,577","47,523","47,461"
".Berks County, Pennsylvania","428,849","428,694","429,342"
".Blair County, Pennsylvania","122,822","122,518","121,767"
".Bradford County, Pennsylvania","59,967","59,858","59,892"
".Bucks County, Pennsylvania","646,538","646,008","646,098"
".Butler County, Pennsylvania","193,763","193,851","194,273"
".Cambria County, Pennsylvania","133,472","132,957","132,167"
".Cameron County, Pennsylvania","4,547","4,519","4,459"
".Carbon County, Pennsylvania","64,749","64,751","65,412"
".Centre County, Pennsylvania","158,172","157,929","157,527"
".Chester County, Pennsylvania","534,413","534,645","538,649"
".Clarion County, Pennsylvania","37,241","37,178","37,156"
".Clearfield County, Pennsylvania","80,562","80,394","80,082"
".Clinton County, Pennsylvania","37,450","37,350","37,465"
".Columbia County, Pennsylvania","64,727","64,667","64,872"
".Crawford County, Pennsylvania","83,938","83,723","83,351"
".Cumberland County, Pennsylvania","259,469","259,996","262,919"
".Dauphin County, Pennsylvania","286,401","286,544","287,400"
".Delaware County, Pennsylvania","576,830","576,388","573,849"
".Elk County, Pennsylvania","30,990","30,927","30,783"
".Erie County, Pennsylvania","270,876","270,427","269,011"
".Fayette County, Pennsylvania","128,804","128,393","126,931"
".Forest County, Pennsylvania","6,973","6,952","7,032"
".Franklin County, Pennsylvania","155,932","155,874","156,289"
".Fulton County, Pennsylvania","14,556","14,549","14,523"
".Greene County, Pennsylvania","35,954","35,813","35,369"
".Huntingdon County, Pennsylvania","44,092","44,030","43,889"
".Indiana County, Pennsylvania","83,246","83,116","82,886"
".Jefferson County, Pennsylvania","44,492","44,431","44,114"
".Juniata County, Pennsylvania","23,509","23,451","23,297"
".Lackawanna County, Pennsylvania","215,896","215,516","215,663"
".Lancaster County, Pennsylvania","552,984","552,597","553,652"
".Lawrence County, Pennsylvania","86,070","85,865","85,497"
".Lebanon County, Pennsylvania","143,257","143,242","143,493"
".Lehigh County, Pennsylvania","374,557","374,504","375,539"
".Luzerne County, Pennsylvania","325,594","325,057","326,053"
".Lycoming County, Pennsylvania","114,188","113,980","113,605"
".McKean County, Pennsylvania","40,432","40,306","39,941"
".Mercer County, Pennsylvania","110,652","110,333","109,972"
".Mifflin County, Pennsylvania","46,143","46,073","46,136"
".Monroe County, Pennsylvania","168,327","168,248","169,273"
".Montgomery County, Pennsylvania","856,553","856,947","860,578"
".Montour County, Pennsylvania","18,136","18,115","18,087"
".Northampton County, Pennsylvania","312,951","312,855","313,628"
".Northumberland County, Pennsylvania","91,647","91,471","91,266"
".Perry County, Pennsylvania","45,842","45,821","45,986"
".Philadelphia County, Pennsylvania","1,603,797","1,601,005","1,576,251"
".Pike County, Pennsylvania","58,535","58,591","59,952"
".Potter County, Pennsylvania","16,396","16,356","16,259"
".Schuylkill County, Pennsylvania","143,049","142,777","143,264"
".Snyder County, Pennsylvania","39,736","39,717","39,621"
".Somerset County, Pennsylvania","74,129","73,917","73,627"
".Sullivan County, Pennsylvania","5,840","5,838","5,868"
".Susquehanna County, Pennsylvania","38,434","38,354","38,389"
".Tioga County, Pennsylvania","41,045","40,969","40,929"
".Union County, Pennsylvania","42,681","42,625","42,568"
".Venango County, Pennsylvania","50,454","50,275","49,938"
".Warren County, Pennsylvania","38,587","38,480","38,134"
".Washington County, Pennsylvania","209,349","209,157","209,470"
".Wayne County, Pennsylvania","51,155","51,101","51,431"
".Westmoreland County, Pennsylvania","354,663","353,998","353,057"
".Wyoming County, Pennsylvania","26,069","26,001","26,034"
".York County, Pennsylvania","456,438","456,389","458,696"
".Bristol County, Rhode Island","50,793","50,750","50,818"
".Kent County, Rhode Island","170,363","170,323","170,715"
".Newport County, Rhode Island","85,643","85,388","85,264"
".Providence County, Rhode Island","660,741","660,015","658,221"
".Washington County, Rhode Island","129,839","129,753","130,592"
".Abbeville County, South Carolina","24,295","24,212","24,299"
".Aiken County, South Carolina","168,808","169,032","170,776"
".Allendale County, South Carolina","8,039","7,990","7,858"
".Anderson County, South Carolina","203,718","204,032","206,908"
".Bamberg County, South Carolina","13,311","13,251","13,189"
".Barnwell County, South Carolina","20,589","20,567","20,580"
".Beaufort County, South Carolina","187,117","187,691","191,748"
".Berkeley County, South Carolina","229,861","231,568","236,701"
".Calhoun County, South Carolina","14,119","14,125","14,165"
".Charleston County, South Carolina","408,235","409,418","413,024"
".Cherokee County, South Carolina","56,216","56,179","56,052"
".Chester County, South Carolina","32,294","32,276","32,209"
".Chesterfield County, South Carolina","43,273","43,258","43,268"
".Clarendon County, South Carolina","31,144","31,093","31,024"
".Colleton County, South Carolina","38,604","38,543","38,462"
".Darlington County, South Carolina","62,905","62,833","62,755"
".Dillon County, South Carolina","28,292","28,284","28,087"
".Dorchester County, South Carolina","161,540","161,975","163,327"
".Edgefield County, South Carolina","25,657","25,675","26,153"
".Fairfield County, South Carolina","20,948","20,858","20,690"
".Florence County, South Carolina","137,059","136,805","136,504"
".Georgetown County, South Carolina","63,404","63,440","63,921"
".Greenville County, South Carolina","525,534","526,980","533,834"
".Greenwood County, South Carolina","69,351","69,380","69,241"
".Hampton County, South Carolina","18,561","18,512","18,180"
".Horry County, South Carolina","351,029","353,498","365,579"
".Jasper County, South Carolina","28,791","29,073","30,324"
".Kershaw County, South Carolina","65,403","65,536","66,130"
".Lancaster County, South Carolina","96,016","96,652","100,336"
".Laurens County, South Carolina","67,539","67,551","67,803"
".Lee County, South Carolina","16,531","16,458","16,280"
".Lexington County, South Carolina","293,991","294,891","300,137"
".McCormick County, South Carolina","9,526","9,513","9,760"
".Marion County, South Carolina","29,183","29,043","28,784"
".Marlboro County, South Carolina","26,667","26,537","26,382"
".Newberry County, South Carolina","37,719","37,715","37,996"
".Oconee County, South Carolina","78,607","78,638","79,203"
".Orangeburg County, South Carolina","84,223","83,958","82,962"
".Pickens County, South Carolina","131,404","131,602","132,229"
".Richland County, South Carolina","416,147","416,527","418,307"
".Saluda County, South Carolina","18,862","18,830","18,821"
".Spartanburg County, South Carolina","327,997","329,364","335,864"
".Sumter County, South Carolina","105,556","105,417","104,758"
".Union County, South Carolina","27,244","27,148","27,016"
".Williamsburg County, South Carolina","31,026","30,902","30,484"
".York County, South Carolina","282,090","283,899","288,595"
".Aurora County, South Dakota","2,747","2,733","2,748"
".Beadle County, South Dakota","19,149","19,146","19,121"
".Bennett County, South Dakota","3,381","3,386","3,406"
".Bon Homme County, South Dakota","7,003","6,979","7,014"
".Brookings County, South Dakota","34,375","34,339","34,639"
".Brown County, South Dakota","38,301","38,210","38,101"
".Brule County, South Dakota","5,247","5,263","5,242"
".Buffalo County, South Dakota","1,948","1,944","1,923"
".Butte County, South Dakota","10,243","10,249","10,456"
".Campbell County, South Dakota","1,377","1,374","1,380"
".Charles Mix County, South Dakota","9,373","9,351","9,163"
".Clark County, South Dakota","3,837","3,850","3,855"
".Clay County, South Dakota","14,967","14,998","15,150"
".Codington County, South Dakota","28,325","28,309","28,427"
".Corson County, South Dakota","3,902","3,893","3,872"
".Custer County, South Dakota","8,318","8,328","8,609"
".Davison County, South Dakota","19,956","19,936","19,878"
".Day County, South Dakota","5,449","5,425","5,414"
".Deuel County, South Dakota","4,295","4,299","4,272"
".Dewey County, South Dakota","5,239","5,226","5,246"
".Douglas County, South Dakota","2,835","2,824","2,821"
".Edmunds County, South Dakota","3,986","3,977","4,033"
".Fall River County, South Dakota","6,973","6,964","7,202"
".Faulk County, South Dakota","2,125","2,128","2,137"
".Grant County, South Dakota","7,556","7,532","7,519"
".Gregory County, South Dakota","3,994","3,994","3,977"
".Haakon County, South Dakota","1,872","1,869","1,835"
".Hamlin County, South Dakota","6,164","6,167","6,255"
".Hand County, South Dakota","3,145","3,130","3,095"
".Hanson County, South Dakota","3,461","3,461","3,505"
".Harding County, South Dakota","1,311","1,317","1,327"
".Hughes County, South Dakota","17,765","17,704","17,694"
".Hutchinson County, South Dakota","7,427","7,411","7,411"
".Hyde County, South Dakota","1,262","1,258","1,236"
".Jackson County, South Dakota","2,806","2,810","2,878"
".Jerauld County, South Dakota","1,663","1,657","1,636"
".Jones County, South Dakota",917,925,879
".Kingsbury County, South Dakota","5,187","5,211","5,192"
".Lake County, South Dakota","11,059","11,010","10,851"
".Lawrence County, South Dakota","25,768","25,812","26,165"
".Lincoln County, South Dakota","65,161","65,613","67,870"
".Lyman County, South Dakota","3,718","3,714","3,764"
".McCook County, South Dakota","5,682","5,661","5,695"
".McPherson County, South Dakota","2,411","2,397","2,420"
".Marshall County, South Dakota","4,306","4,300","4,304"
".Meade County, South Dakota","29,852","29,853","30,173"
".Mellette County, South Dakota","1,918","1,916","1,908"
".Miner County, South Dakota","2,298","2,294","2,314"
".Minnehaha County, South Dakota","197,214","197,511","199,685"
".Moody County, South Dakota","6,336","6,324","6,315"
".Oglala Lakota County, South Dakota","13,672","13,672","13,586"
".Pennington County, South Dakota","109,222","109,475","111,806"
".Perkins County, South Dakota","2,835","2,824","2,819"
".Potter County, South Dakota","2,472","2,471","2,475"
".Roberts County, South Dakota","10,280","10,257","10,163"
".Sanborn County, South Dakota","2,330","2,318","2,378"
".Spink County, South Dakota","6,361","6,338","6,269"
".Stanley County, South Dakota","2,980","2,976","3,032"
".Sully County, South Dakota","1,446","1,446","1,476"
".Todd County, South Dakota","9,319","9,319","9,286"
".Tripp County, South Dakota","5,624","5,601","5,569"
".Turner County, South Dakota","8,673","8,673","8,708"
".Union County, South Dakota","16,811","16,832","16,872"
".Walworth County, South Dakota","5,315","5,289","5,248"
".Yankton County, South Dakota","23,310","23,238","23,297"
".Ziebach County, South Dakota","2,413","2,388","2,380"
".Anderson County, Tennessee","77,123","77,209","77,576"
".Bedford County, Tennessee","50,237","50,302","51,119"
".Benton County, Tennessee","15,864","15,812","15,872"
".Bledsoe County, Tennessee","14,913","14,930","15,234"
".Blount County, Tennessee","135,280","135,566","137,605"
".Bradley County, Tennessee","108,620","108,741","110,162"
".Campbell County, Tennessee","39,272","39,277","39,578"
".Cannon County, Tennessee","14,506","14,547","14,553"
".Carroll County, Tennessee","28,440","28,415","28,432"
".Carter County, Tennessee","56,356","56,315","56,134"
".Cheatham County, Tennessee","41,072","41,087","41,523"
".Chester County, Tennessee","17,341","17,347","17,504"
".Claiborne County, Tennessee","32,043","32,038","32,267"
".Clay County, Tennessee","7,581","7,554","7,555"
".Cocke County, Tennessee","35,999","36,022","36,418"
".Coffee County, Tennessee","57,889","58,102","59,032"
".Crockett County, Tennessee","13,911","13,884","13,979"
".Cumberland County, Tennessee","61,145","61,272","62,451"
".Davidson County, Tennessee","715,884","715,486","703,953"
".Decatur County, Tennessee","11,435","11,402","11,391"
".DeKalb County, Tennessee","20,080","20,171","20,478"
".Dickson County, Tennessee","54,315","54,432","55,292"
".Dyer County, Tennessee","36,801","36,646","36,615"
".Fayette County, Tennessee","41,990","42,139","42,832"
".Fentress County, Tennessee","18,489","18,522","18,850"
".Franklin County, Tennessee","42,774","42,781","43,215"
".Gibson County, Tennessee","50,429","50,375","50,541"
".Giles County, Tennessee","30,346","30,295","30,542"
".Grainger County, Tennessee","23,527","23,525","23,763"
".Greene County, Tennessee","70,152","70,220","70,621"
".Grundy County, Tennessee","13,529","13,531","13,622"
".Hamblen County, Tennessee","64,499","64,435","64,468"
".Hamilton County, Tennessee","366,207","366,991","369,135"
".Hancock County, Tennessee","6,662","6,622","6,787"
".Hardeman County, Tennessee","25,462","25,410","25,426"
".Hardin County, Tennessee","26,831","26,800","26,892"
".Hawkins County, Tennessee","56,721","56,669","57,288"
".Haywood County, Tennessee","17,864","17,795","17,694"
".Henderson County, Tennessee","27,842","27,818","27,953"
".Henry County, Tennessee","32,199","32,115","32,239"
".Hickman County, Tennessee","24,925","24,942","25,307"
".Houston County, Tennessee","8,283","8,285","8,317"
".Humphreys County, Tennessee","18,990","18,974","19,211"
".Jackson County, Tennessee","11,617","11,617","11,750"
".Jefferson County, Tennessee","54,683","54,870","55,624"
".Johnson County, Tennessee","17,948","17,966","18,170"
".Knox County, Tennessee","478,971","480,126","486,677"
".Lake County, Tennessee","7,005","6,980","7,128"
".Lauderdale County, Tennessee","25,143","25,100","25,108"
".Lawrence County, Tennessee","44,159","44,189","44,828"
".Lewis County, Tennessee","12,582","12,602","12,857"
".Lincoln County, Tennessee","35,319","35,309","35,433"
".Loudon County, Tennessee","54,886","55,097","56,690"
".McMinn County, Tennessee","53,276","53,315","54,059"
".McNairy County, Tennessee","25,866","25,839","25,860"
".Macon County, Tennessee","25,216","25,243","25,699"
".Madison County, Tennessee","98,823","98,777","98,775"
".Marion County, Tennessee","28,837","28,834","28,877"
".Marshall County, Tennessee","34,318","34,441","34,984"
".Maury County, Tennessee","100,974","101,700","104,760"
".Meigs County, Tennessee","12,758","12,785","13,049"
".Monroe County, Tennessee","46,250","46,384","46,698"
".Montgomery County, Tennessee","220,069","221,160","227,900"
".Moore County, Tennessee","6,461","6,457","6,644"
".Morgan County, Tennessee","21,035","21,020","21,254"
".Obion County, Tennessee","30,787","30,716","30,466"
".Overton County, Tennessee","22,511","22,588","22,839"
".Perry County, Tennessee","8,366","8,360","8,472"
".Pickett County, Tennessee","5,001","4,995","5,079"
".Polk County, Tennessee","17,544","17,569","17,776"
".Putnam County, Tennessee","79,854","79,982","81,188"
".Rhea County, Tennessee","32,870","32,903","33,136"
".Roane County, Tennessee","53,404","53,513","53,992"
".Robertson County, Tennessee","72,803","72,860","74,098"
".Rutherford County, Tennessee","341,486","343,128","352,182"
".Scott County, Tennessee","21,850","21,842","21,917"
".Sequatchie County, Tennessee","15,826","15,863","16,396"
".Sevier County, Tennessee","98,380","98,497","99,517"
".Shelby County, Tennessee","929,744","928,644","924,454"
".Smith County, Tennessee","19,904","19,939","20,172"
".Stewart County, Tennessee","13,657","13,683","13,855"
".Sullivan County, Tennessee","158,163","158,092","159,265"
".Sumner County, Tennessee","196,281","197,272","200,557"
".Tipton County, Tennessee","60,970","60,961","61,004"
".Trousdale County, Tennessee","11,615","11,661","12,035"
".Unicoi County, Tennessee","17,928","17,867","17,698"
".Union County, Tennessee","19,802","19,820","20,040"
".Van Buren County, Tennessee","6,168","6,171","6,324"
".Warren County, Tennessee","40,953","41,023","41,523"
".Washington County, Tennessee","133,001","133,080","134,236"
".Wayne County, Tennessee","16,232","16,202","16,409"
".Weakley County, Tennessee","32,902","32,864","33,036"
".White County, Tennessee","27,351","27,424","27,650"
".Williamson County, Tennessee","247,726","249,424","255,735"
".Wilson County, Tennessee","147,737","148,564","151,917"
".Anderson County, Texas","57,922","57,881","58,402"
".Andrews County, Texas","18,610","18,612","18,440"
".Angelina County, Texas","86,395","86,345","86,506"
".Aransas County, Texas","23,830","23,916","24,510"
".Archer County, Texas","8,560","8,557","8,681"
".Armstrong County, Texas","1,848","1,847","1,839"
".Atascosa County, Texas","48,981","49,089","49,939"
".Austin County, Texas","30,167","30,109","30,380"
".Bailey County, Texas","6,904","6,859","6,835"
".Bandera County, Texas","20,851","20,987","21,565"
".Bastrop County, Texas","97,216","97,983","102,058"
".Baylor County, Texas","3,465","3,464","3,477"
".Bee County, Texas","31,047","30,990","30,924"
".Bell County, Texas","370,647","371,981","379,617"
".Bexar County, Texas","2,009,324","2,014,052","2,028,236"
".Blanco County, Texas","11,374","11,454","11,886"
".Borden County, Texas",631,641,617
".Bosque County, Texas","18,235","18,239","18,503"
".Bowie County, Texas","92,893","92,792","92,581"
".Brazoria County, Texas","372,031","373,368","379,689"
".Brazos County, Texas","233,849","234,480","237,032"
".Brewster County, Texas","9,546","9,566","9,450"
".Briscoe County, Texas","1,435","1,421","1,403"
".Brooks County, Texas","7,076","7,030","6,994"
".Brown County, Texas","38,095","38,002","38,192"
".Burleson County, Texas","17,642","17,644","18,051"
".Burnet County, Texas","49,130","49,427","50,954"
".Caldwell County, Texas","45,883","45,967","46,791"
".Calhoun County, Texas","20,106","20,047","19,727"
".Callahan County, Texas","13,708","13,750","14,115"
".Cameron County, Texas","421,017","421,191","423,029"
".Camp County, Texas","12,464","12,450","12,616"
".Carson County, Texas","5,807","5,808","5,746"
".Cass County, Texas","28,454","28,399","28,560"
".Castro County, Texas","7,371","7,337","7,374"
".Chambers County, Texas","46,571","47,051","48,865"
".Cherokee County, Texas","50,412","50,477","51,097"
".Childress County, Texas","6,664","6,648","6,736"
".Clay County, Texas","10,218","10,245","10,263"
".Cochran County, Texas","2,547","2,559","2,516"
".Coke County, Texas","3,285","3,288","3,321"
".Coleman County, Texas","7,684","7,671","7,735"
".Collin County, Texas","1,064,465","1,073,149","1,109,462"
".Collingsworth County, Texas","2,652","2,635","2,615"
".Colorado County, Texas","20,557","20,566","20,630"
".Comal County, Texas","161,501","163,573","174,986"
".Comanche County, Texas","13,594","13,600","13,775"
".Concho County, Texas","3,303","3,319","3,341"
".Cooke County, Texas","41,668","41,697","42,244"
".Coryell County, Texas","83,093","83,096","84,232"
".Cottle County, Texas","1,380","1,374","1,381"
".Crane County, Texas","4,675","4,668","4,680"
".Crockett County, Texas","3,098","3,111","3,068"
".Crosby County, Texas","5,133","5,098","5,106"
".Culberson County, Texas","2,188","2,193","2,193"
".Dallam County, Texas","7,115","7,116","7,172"
".Dallas County, Texas","2,613,539","2,610,957","2,586,050"
".Dawson County, Texas","12,456","12,439","12,413"
".Deaf Smith County, Texas","18,583","18,503","18,329"
".Delta County, Texas","5,230","5,233","5,392"
".Denton County, Texas","906,422","913,900","941,647"
".DeWitt County, Texas","19,824","19,809","19,918"
".Dickens County, Texas","1,770","1,760","1,740"
".Dimmit County, Texas","8,615","8,563","8,473"
".Donley County, Texas","3,258","3,269","3,268"
".Duval County, Texas","9,831","9,808","9,756"
".Eastland County, Texas","17,725","17,754","17,864"
".Ector County, Texas","165,171","165,467","161,091"
".Edwards County, Texas","1,422","1,414","1,438"
".Ellis County, Texas","192,455","194,272","202,678"
".El Paso County, Texas","865,657","866,093","867,947"
".Erath County, Texas","42,545","42,715","43,378"
".Falls County, Texas","16,968","16,961","17,313"
".Fannin County, Texas","35,662","35,732","36,569"
".Fayette County, Texas","24,435","24,452","24,687"
".Fisher County, Texas","3,672","3,677","3,706"
".Floyd County, Texas","5,402","5,378","5,350"
".Foard County, Texas","1,095","1,086","1,080"
".Fort Bend County, Texas","822,779","828,632","858,527"
".Franklin County, Texas","10,359","10,366","10,464"
".Freestone County, Texas","19,435","19,445","19,774"
".Frio County, Texas","18,385","18,366","18,436"
".Gaines County, Texas","21,598","21,701","21,895"
".Galveston County, Texas","350,682","351,458","355,062"
".Garza County, Texas","5,816","5,794","5,863"
".Gillespie County, Texas","26,725","26,732","27,297"
".Glasscock County, Texas","1,116","1,114","1,149"
".Goliad County, Texas","7,012","7,005","7,163"
".Gonzales County, Texas","19,653","19,653","19,641"
".Gray County, Texas","21,227","21,179","21,030"
".Grayson County, Texas","135,543","136,014","139,336"
".Gregg County, Texas","124,239","124,175","124,201"
".Grimes County, Texas","29,268","29,414","30,287"
".Guadalupe County, Texas","172,706","173,541","177,036"
".Hale County, Texas","32,522","32,439","32,220"
".Hall County, Texas","2,825","2,801","2,845"
".Hamilton County, Texas","8,222","8,230","8,229"
".Hansford County, Texas","5,285","5,255","5,159"
".Hardeman County, Texas","3,549","3,559","3,552"
".Hardin County, Texas","56,231","56,277","56,973"
".Harris County, Texas","4,731,145","4,732,491","4,728,030"
".Harrison County, Texas","68,839","68,778","69,150"
".Hartley County, Texas","5,382","5,362","5,397"
".Haskell County, Texas","5,416","5,424","5,411"
".Hays County, Texas","241,067","243,809","255,397"
".Hemphill County, Texas","3,382","3,368","3,271"
".Henderson County, Texas","82,150","82,348","83,667"
".Hidalgo County, Texas","870,781","872,204","880,356"
".Hill County, Texas","35,874","35,965","36,471"
".Hockley County, Texas","21,537","21,490","21,363"
".Hood County, Texas","61,598","61,953","64,222"
".Hopkins County, Texas","36,787","36,795","37,211"
".Houston County, Texas","22,066","22,068","22,241"
".Howard County, Texas","34,860","34,797","34,128"
".Hudspeth County, Texas","3,202","3,196","3,287"
".Hunt County, Texas","99,956","100,231","103,394"
".Hutchinson County, Texas","20,617","20,539","20,495"
".Irion County, Texas","1,513","1,522","1,552"
".Jack County, Texas","8,472","8,492","8,712"
".Jackson County, Texas","14,988","15,000","15,121"
".Jasper County, Texas","32,980","32,900","32,975"
".Jeff Davis County, Texas","1,996","1,978","1,949"
".Jefferson County, Texas","256,526","255,979","253,704"
".Jim Hogg County, Texas","4,838","4,839","4,801"
".Jim Wells County, Texas","38,891","38,813","38,847"
".Johnson County, Texas","179,927","180,733","187,280"
".Jones County, Texas","19,663","19,676","19,873"
".Karnes County, Texas","14,710","14,721","14,754"
".Kaufman County, Texas","145,310","146,986","157,768"
".Kendall County, Texas","44,279","44,527","46,788"
".Kenedy County, Texas",350,346,340
".Kent County, Texas",753,759,749
".Kerr County, Texas","52,598","52,676","53,161"
".Kimble County, Texas","4,286","4,289","4,365"
".King County, Texas",265,270,258
".Kinney County, Texas","3,129","3,127","3,130"
".Kleberg County, Texas","31,040","30,958","30,635"
".Knox County, Texas","3,353","3,361","3,351"
".Lamar County, Texas","50,088","50,077","50,098"
".Lamb County, Texas","13,045","12,984","12,898"
".Lampasas County, Texas","21,627","21,707","22,252"
".La Salle County, Texas","6,664","6,642","6,670"
".Lavaca County, Texas","20,337","20,338","20,544"
".Lee County, Texas","17,478","17,499","17,706"
".Leon County, Texas","15,719","15,727","15,959"
".Liberty County, Texas","91,628","92,351","97,621"
".Limestone County, Texas","22,146","22,103","22,119"
".Lipscomb County, Texas","3,059","3,042","2,931"
".Live Oak County, Texas","11,335","11,343","11,377"
".Llano County, Texas","21,243","21,249","21,978"
".Loving County, Texas",64,67,57
".Lubbock County, Texas","310,639","311,419","314,451"
".Lynn County, Texas","5,596","5,606","5,688"
".McCulloch County, Texas","7,630","7,567","7,533"
".McLennan County, Texas","260,579","261,023","263,115"
".McMullen County, Texas",600,599,608
".Madison County, Texas","13,455","13,445","13,718"
".Marion County, Texas","9,725","9,752","9,645"
".Martin County, Texas","5,237","5,250","5,211"
".Mason County, Texas","3,953","3,964","3,943"
".Matagorda County, Texas","36,255","36,269","36,344"
".Maverick County, Texas","57,887","57,844","58,056"
".Medina County, Texas","50,748","50,920","51,981"
".Menard County, Texas","1,962","1,971","1,982"
".Midland County, Texas","169,983","170,221","167,969"
".Milam County, Texas","24,754","24,724","25,106"
".Mills County, Texas","4,456","4,439","4,480"
".Mitchell County, Texas","8,990","8,985","9,070"
".Montague County, Texas","19,965","19,969","20,409"
".Montgomery County, Texas","620,443","624,938","648,886"
".Moore County, Texas","21,358","21,273","21,118"
".Morris County, Texas","11,973","11,963","12,030"
".Motley County, Texas","1,063","1,052","1,067"
".Nacogdoches County, Texas","64,653","64,624","64,668"
